Year,Destination,Count
2020,Kochi City,"7,50,074"
2020,Guruvayoor,"4,72,612"
2020,Thiruvananthapuram,"4,12,256"
2020,Munnar,"3,45,486"
2020,Kozhikode City,"3,27,023"
2020,Wayanad,"3,00,087"
2020,Kovalam,"2,59,093"
2020,Alappuzha,"1,53,978"
2020,Kumarakom,"1,22,101"
2020,Muzhuppilangad,"1,20,084"
2020,Kollam,"1,17,026"
2020,Thekkady,"1,12,382"
2020,Parassinikadavu,"94,861"
2020,Aluva,"88,692"
2020,Varkala,"77,887"
2020,Others,"12,35,330"
2021,Kochi City,"10,02,815"
2021,Munnar,"6,54,481"
2021,Thiruvananthapuram,"6,18,514"
2021,Wayanad,"5,93,854"
2021,Guruvayoor,"5,19,814"
2021,Kozhikode City,"4,48,011"
2021,Kovalam,"3,55,983"
2021,Alappuzha,"2,68,762"
2021,Thekkady,"2,10,114"
2021,Kollam,"1,74,117"
2021,Muzhuppilangad,"1,60,916"
2021,Kumarakom,"1,35,472"
2021,Parassinikadavu,"1,20,277"
2021,Kalady,"1,15,947"
2021,Aluva,"1,12,912"
2021,Others,"20,45,628"
2022,Kochi City,"26,30,461"
2022,Thiruvananthapuram City,"16,49,002"
2022,Guruvayoor,"14,60,246"
2022,Munnar,"10,72,261"
2022,Kozhikode City,"8,53,418"
2022,Alappuzha,"6,24,936"
2022,Irringal-Kottakkal,"6,09,687"
2022,Wayanad,"5,97,016"
2022,Thekkady,"5,72,513"
2022,Aluva,"4,97,720"
2022,Kovalam,"4,90,061"
2022,Pookkode Lake-Vaithiri,"4,50,264"
2022,Varkala,"3,72,363"
2022,Maradu,"3,10,012"
2022,Kumarakom,"2,83,395"
2022,Meenkunnu-Payyambalam,"2,50,812"
2022,Fort Kochi,"2,42,957"
2022,Kollam,"2,37,619"
2022,Vagamon,"2,37,417"
2022,Bekal,"2,12,670"
2022,Others,"52,12,584"
2023,Kochi City,"30,96,879"
2023,Thiruvananthapuram City,"20,41,779"
2023,Guruvayoor,"19,14,518"
2023,Munnar,"16,72,521"
2023,Kozhikode City,"9,67,417"
2023,Thekkady,"7,19,633"
2023,Wayanad,"6,75,195"
2023,Kovalam,"5,91,047"
2023,Pookkode Lake–Vaithiri,"5,58,163"
2023,Alappuzha,"5,41,690"
2023,Aluva,"5,35,333"
2023,Varkala,"4,72,402"
2023,Irringal–Kottakkal,"3,72,562"
2023,Maradu,"3,41,354"
2023,Kumarakom,"3,24,301"
2023,Vagamon,"3,01,008"
2023,Parassinikadavu,"2,86,419"
2023,Meenkunnu–Payyambalam,"2,50,300"
2023,Malampuzha,"2,48,017"
2023,Kollam,"2,41,038"
2023,Others,"57,20,065"
2024,Kochi City,"31,53,301"
2024,Thiruvananthapuram City,"23,59,402"
2024,Guruvayoor,"23,49,721"
2024,Munnar,"22,05,159"
2024,Kozhikode City,"9,39,660"
2024,Thekkady,"6,70,093"
2024,Kovalam,"6,07,671"
2024,Varkala,"5,98,813"
2024,Wayanad,"4,90,958"
2024,Alappuzha,"4,61,612"
2024,Pookkode Lake–Vaithiri,"4,53,512"
2024,Kumarakom,"4,36,780"
2024,Irringal–Kottakkal,"4,19,324"
2024,Aluva,"3,88,342"
2024,Maradu,"3,37,864"
2024,Parassinikadavu,"3,30,025"
2024,Vagamon,"3,19,341"
2024,Malampuzha,"2,82,468"
2024,Kollam,"2,80,192"
2024,Bekal,"2,23,671"
2024,Others,"49,39,080"
2025,Munnar,"30,18,598"
2025,Kochi City,"29,95,609"
2025,Thiruvananthapuram City,"25,14,950"
2025,Guruvayoor,"24,65,212"
2025,Kozhikode City,"9,87,959"
2025,Thekkady,"7,57,017"
2025,Varkala,"7,07,055"
2025,Kovalam,"6,32,532"
2025,Wayanad,"5,87,875"
2025,Alappuzha,"5,50,843"
2025,Pookkode Lake–Vaithiri,"4,80,179"
2025,Kumarakom,"4,54,328"
2025,Irringal–Kottakkal,"4,32,513"
2025,Parassinikadavu,"3,66,739"
2025,Wagamon,"3,65,016"
2025,Maradu,"3,15,674"
2025,Kollam,"3,04,355"
2025,Meenkunnu–Payyambalam,"3,03,831"
2025,Malampuzha,"2,89,871"
2025,Aluva,"2,42,305"
2025,Others,"62,85,905"
