Year ,State,Count
2020,Kerala,"36,46,520"
2020,Tamil Nadu,"3,79,421"
2020,Karnataka,"2,99,216"
2020,Maharashtra,"1,25,713"
2020,Delhi,"68,088"
2020,Andhra Pradesh,"53,943"
2020,Uttar Pradesh,"41,956"
2020,Gujarat,"39,686"
2020,Telangana,"33,730"
2020,West Bengal,"32,851"
2020,Assam,"23,183"
2020,Lakshadweep,"19,008"
2020,Madhya Pradesh,"14,284"
2020,Haryana,"14,168"
2020,Rajasthan,"11,669"
2021,Kerala,"61,37,243"
2021,Tamil Nadu,"4,51,473"
2021,Karnataka,"2,90,096"
2021,Maharashtra,"1,53,912"
2021,Andhra Pradesh,"67,513"
2021,Delhi,"57,943"
2021,Lakshadweep,"44,863"
2021,Gujarat,"39,112"
2021,Uttar Pradesh,"38,826"
2021,Telangana,"34,314"
2021,West Bengal,"33,803"
2021,Madhya Pradesh,"16,133"
2021,Assam,"14,443"
2021,Rajasthan,"11,198"
2021,Bihar,"11,024"
2022,Kerala,"1,34,92,279"
2022,Tamil Nadu,"16,97,541"
2022,Karnataka,"11,59,112"
2022,Maharashtra,"6,25,403"
2022,Andhra Pradesh,"3,20,127"
2022,Delhi,"2,30,938"
2022,Gujarat,"2,22,405"
2022,Telangana,"1,72,540"
2022,Uttar Pradesh,"1,50,061"
2022,West Bengal,"1,27,851"
2023,Kerala,"1,49,72,153"
2023,Tamil Nadu,"22,70,782"
2023,Karnataka,"14,31,776"
2023,Maharashtra,"7,78,275"
2023,Andhra Pradesh,"3,91,431"
2023,Gujarat,"3,03,426"
2023,Delhi,"3,00,683"
2023,Telangana,"2,38,409"
2023,Uttar Pradesh,"2,00,095"
2023,West Bengal,"1,65,799"
2024,Kerala,"1,52,71,817"
2024,Tamil Nadu,"23,41,438"
2024,Karnataka,"13,83,065"
2024,Maharashtra,"7,50,242"
2024,Andhra Pradesh,"4,33,643"
2024,Gujarat,"3,07,590"
2024,Delhi,"2,94,723"
2024,Telangana,"2,49,584"
2024,Uttar Pradesh,"2,04,065"
2024,West Bengal,"1,77,916"
2024,Madhya Pradesh,"1,02,396"
2024,Rajasthan,"94,417"
2024,Lakshadweep,"91,410"
2024,Haryana,"72,269"
2024,Orissa,"66,184"
2024,Punjab,"63,980"
2024,Assam,"56,101"
2024,Bihar,"54,464"
2024,Jharkhand,"31,053"
2024,Goa,"29,671"
2025,Kerala,"1,71,23,523"
2025,Tamil Nadu,"28,05,074"
2025,Karnataka,"16,18,066"
2025,Maharashtra,"7,71,264"
2025,Andhra Pradesh,"4,47,672"
2025,Gujarat,"3,77,109"
2025,Telangana,"3,07,749"
2025,Delhi,"3,01,313"
2025,Uttar Pradesh,"2,15,347"
2025,West Bengal,"2,01,909"
2025,Madhya Pradesh,"1,03,771"
2025,Rajasthan,"1,02,887"
2025,Lakshadweep,"85,055"
2025,Haryana,"79,259"
2025,Odisha (Orissa),"72,870"
2025,Punjab,"72,430"
2025,Bihar,"57,284"
2025,Assam,"56,520"
2025,Pondicherry,"41,547"
2025,Jharkhand,"35,451"
