query,search interest,increase percent
tourism in kerala,100,10%
kerala tourism places,49,10%
india tourism,34,10%
tourism in india,25,30%
tourism places in kerala,21,-3%
kerala packages,20,-30%
kerala tourism packages,20,-40%
kerala tourist places,19,-8%
kerala tour,16,-30%
kerala tourism package,14,20%
kerala tourism munnar,14,-20%
munnar kerala tourism,14,-20%
munnar tourism,14,-20%
munnar,13,-20%
munnar kerala,13,-20%
tourist places in kerala,10,-8%
kerala places to visit,9,-1%
kerala tour packages,9,-40%
tourism department kerala,9,140%
kochi,9,1%
kerala tourism department,9,130%
kerala tourism place,8,-30%
kerala state tourism,8,90%
kochi tourism,8,-6%
kerala eco tourism,7,180%
kerala map tourism,7,-50%
kerala tourism map,7,-50%
tourism minister kerala,7,170%
kerala map,7,-50%
kerala tourism minister,7,170%
places to visit in kerala,7,-4%
goa tourism,6,-40%
goa,6,-40%
wayanad,6,1%
wayanad kerala tourism,6,-3%
wayanad tourism,6,-9%
kerala tourism development corporation,6,30%
kerala tour package,6,-10%
karnataka tourism,5,-10%
alleppey,5,-8%
tourism minister of kerala,5,190%
trivandrum,5,-10%
kerala tourism hotels,5,-40%
tamilnadu tourism,5,-20%
ooty tourism,4,-7%
ooty,4,-8%
kerala tourism news,4,50%
about kerala tourism,4,40%
kerala university,4,40%
eco tourism in kerala,4,180%
